 6/25/2018,Formulation Production  Deviation Report By Completion Date,,,,,,,,,,,,,,,,,,,,
Number,ScheduleDate,IssueDate,CompletionDate,BatchNo,FormCode,name,Colour,ScheduleMass,Schedule Vol,ScheduledBulkMass,SG,SchedMassCost,ActualSg,ActualMass,Actual Vol,UnitCost,OHMass,StdVolCost,ActVolCost,actualcost,Loss %
36452, 6/20/2016, 7/01/2016, 7/01/2016,AR/213/36452,ZY001C,CT-UPW35 BRUSHING PRIMER 50m 29v LS55 SLUDGE+REDOX=HI-SPEED,CT-GREY BROWN + REDOX 50m 29v,1796.171,1548,-1.829,1.16,13.17413845,1.052,1630.6,1550,12.96563348,0,15.282,13.6398,21141.69,9.217997618
36417, 6/10/2016, 7/04/2016, 7/04/2016,213/36417,39-601,FDE RED PO IS538 LS25+35 JARMILL 1 @,RED PO IS538,173.25,175,0,0.99,23.84570899,0.942,164.85,175,6.754617689,0,23.6073,6.3628,1113.49,4.848484848
36423, 6/13/2016, 7/04/2016, 7/04/2016,213/36423,49-901,HEAT-RESISTANT420 RFU:BLACK JARMILL @,BLACK,282.2,243,3.8,1.16,86.98051901,1.097,257.795,235,92.35818092,0,100.8974,101.3169,23809.47,8.648121899
36468, 6/27/2016, 7/04/2016, 7/04/2016,DE/213/36468,43-1016,CT-TPE:GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B @Y,TINT-GREY DK ADM G12&DK SEA G11 SANS-NCS S6502-B,778.4,794,-5.6,0.98,19.16045463,0.946,799.37,845,10.03078516,0,18.7772,9.4891,8018.29,-2.693987667
36477, 7/01/2016, 7/01/2016, 7/04/2016,213/36477,43-610,REFILL (Z438) TPE REDOX 130,FTO REFILL-Z438 REDOX 130,95,100,0,0.95,16.67376417,0.975,97.5,100,16.16500513,0,15.8401,15.7609,1576.09,-2.631578947
36478, 7/01/2016, 7/01/2016, 7/04/2016,213/36478,45-901,REFILL (Z9320) FD HB AGRIP:BLACK,FTO REFILL-Z9320 BLACK,49.5,50,0,0.99,21.89637644,0.985,49.25,50,22.38843188,0,21.6774,22.0526,1102.63,0.505050505
36479, 7/01/2016, 7/01/2016, 7/04/2016,213/36479,45-402,REFILL (Z9309) FD HB AGRIP PLUS:YELLOW MID M11G @,FTO REFILL-Z9309 YELLOW MID M11G,111,100,0,1.11,24.96615911,1.072,107.2,100,26.17296399,0,27.7124,28.0574,2805.74,3.423423423
36481, 7/01/2016, 7/01/2016, 7/04/2016,BE/213/36481,39-898102,CT-FDE:BLUE DEEP HP @,MTO TINT-BLUE DEEP HP,128.147,129,4.397,0.99,23.06953703,0.94,117.5,125,22.31496987,0,22.8388,20.9761,2622.01,8.308427041
36486, 7/01/2016, 7/01/2016, 7/04/2016,DE/213/36486,39-29911,CT-FDE:GREY TRICOR @YY,TINT-GREY TRICOR,191.656,194,-6.344,0.99,19.01237081,0.932,186.4,200,14.49229351,0,18.8222,13.5068,2701.36,2.742413491
36227, 5/13/2016, 7/01/2016, 7/06/2016,213/36227,Z14-901,INT:EPS15 ETCH PRIMER:BLACK 18m 12v-BALL MILL 5 @,BLACK 18m 12v,681.899,758,681.899,0.9,13.44659837,0.871,618.41,710,13.93662748,0,12.1019,12.1388,8618.55,9.310616382
36385, 6/06/2016, 7/01/2016, 7/06/2016,213/36385,Z14-101,INT:EPS15 ETCH PRIMER 27m 14v:WHITE BALLMILL 1 YY,WHITE 27m 14v,318.455,328,318.455,0.97,14.86092416,0.966,328.44,340,14.26575569,0,14.4151,13.7807,4685.44,-3.135450849
36415, 6/10/2016, 7/01/2016, 7/06/2016,AR/213/36415,39-603,CT-FDE:SIGNAL RED A11 SANS-NCS S1580-Y90R @,TINT-RED SIGNAL-NCS S1580-Y90R,892.62,911,0.82,0.98,23.91948159,0.941,851.605,905,22.45973882,0,23.4411,21.1346,19126.81,4.594900406
36470, 6/28/2016, 7/01/2016, 7/06/2016,213/36470,33-101,EGGSHELL ENAMEL L1055 WHITE-BALLMILL 8 @,WHITE,169.551,147,-2.949,1.15,14.89895322,1.181,159.435,135,15.44676451,0,17.1338,18.2426,2462.75,5.966346409
36472, 7/01/2016, 7/01/2016, 7/06/2016,213/36472,39-1011,FDEW SPRAY:WHITE LS25 BALLMILL 8 YY,WHITE SPRAY,1954.103,1994,-5.897,0.98,17.18322517,0.949,1945.45,2050,16.74186337,0,16.8396,15.888,32570.4,0.442811868
36475, 7/01/2016, 7/01/2016, 7/06/2016,DE/213/36475,Z324,INT:CT-FPW15 PRIMER:GREY NEW HD S25 BALLMILL 9 @,FPW15 GREY NEW HD,1682.282,1682,1682.282,1,13.86158093,0.98,1764,1800,13.69597384,0,13.8616,13.4221,24159.78,-4.857568469
36483, 7/01/2016, 7/01/2016, 7/06/2016,BE/213/36483,39-89822,CT-FDE:BLUE PEACOCK F08 SANS-NCS S5040-B20G @,MTO TINT-BLUE PEACOCK F08 SANS-NCS S5040-B20G,123.578,125,-0.172,0.99,24.86620229,0.968,121,125,21.49847683,0,24.6175,20.8105,2601.31,2.086131836
36484, 7/01/2016, 7/01/2016, 7/06/2016,DE/213/36484,39-89898,CT-FDE:BLUE METALLICA @,MOT TINT-BLUE METALLICA,9.9,10,0,0.99,24.46834922,0.942,9.42,10,21.08095797,0,24.2237,19.8583,198.58,4.848484848
36485, 7/01/2016, 7/01/2016, 7/06/2016,DE/213/36485,39-9897,CT-FDE SPRAY:LEMON C54 SANS-NCS S1080-Y10R @Y,TINT SPRAY-LEMON C54 SANS-NCS S1080-Y10R,265.179,255,5.179,1.04,24.65545598,0.978,268.95,275,22.78774879,0,25.6417,22.2864,6128.76,-1.422058308
36487, 7/01/2016, 7/01/2016, 7/06/2016,BE/213/36487,12-50113,CT-FPW15 PRIM:GREY PALE G62 SANS-NCS S1502-G @Y,MTO TINT-MATT GREY PALE G62 SANS-NCS S1502-G,50.99,50,-0.51,1.03,13.35330821,1.057,52.85,50,12.43604831,0,13.7539,13.1449,657.25,-3.647774073
36489, 7/01/2016, 7/01/2016, 7/06/2016,DE/213/36489,39-2997,CT-FDE:GREY LIGHT ADM E46 SANS-NCS S2010-B70G @Y,TINT-GREY LIGHT ADM E46 SANS-NCS S2010-B70G,96.974,99,-1.026,0.98,23.19329513,0.941,94.1,100,19.44750631,0,22.7294,18.3001,1830.01,2.963680987
36494, 7/04/2016, 7/04/2016, 7/06/2016,213/36494,00-110,GP/QD THINNERS,CLEAR,456.5,550,0,0.83,12.63959391,0.816,448.8,550,12.66360294,0,10.4909,10.3335,5683.43,1.686746988
36495, 7/04/2016, 7/04/2016, 7/06/2016,213/36495,Dec-31,VISCO ADJ-FPW15 PRIMER DIP 18S F4C:GREY NEW HD YY,DIP 18S F4C GREY NEW HD 20m 11v,964.5,984,-15.5,0.98,13.55108983,0.934,934,1000,13.85368876,0,13.2801,12.9393,12939.3,3.162260238
36496, 7/04/2016, 7/04/2016, 7/06/2016,213/36496,12-373,REFILL (Z324) FPW15 MATT PRIMER 23m 13v:GREY NEW HD,FTO REFILL-Z324 GREY NEW HD 23m 13v,1200,1200,0,1,13.93123711,0.95,1591.25,1675,13.93782247,0,13.9312,13.2409,22178.51,-32.60416667
36497, 7/04/2016, 7/04/2016, 7/06/2016,213/36497,Dec-83,REFILL (Z331) FPW15 PRIMER 23m 14v:GREY,FTO REFILL-Z331 GREY 23m 14v,1800,1800,0,1,12.25492809,0.977,1807.45,1850,12.53881988,0,12.2549,12.2504,22663.24,-0.413888889
36500, 7/04/2016, 7/04/2016, 7/06/2016,213/36500,40-900,QD SPRAY SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-SPRAY,383.19,421,-162.81,0.91,16.72562775,0.889,533.4,600,12.93742126,0,15.2203,11.5014,6900.84,-39.19987474
35875, 3/16/2016, 7/01/2016, 7/07/2016,BE/209/35875,82-10102,CT-ARMOURCRYL MATT:CREAM CALICO EPL437 PLA @,MTO TINT-CREAM CALICO EPL437 PLA,885.781,619,27.781,1.43,14.41524277,1.387,832.2,600,12.27507805,0,20.6138,17.0255,10215.3,6.049012115
35885, 3/16/2016, 7/01/2016, 7/07/2016,BE/209/35885,83-10158,CT-ARMOURCRYL SHEEN:GREY NIAGARA BLUES 2 @,MTO TINT-GREY NIAGARA BLUES 2,6.691,5,-0.309,1.4,16.87773552,1.127,5.635,5,15.03050327,0,23.6288,16.9394,84.7,15.78239426
35913, 3/23/2016, 7/01/2016, 7/07/2016,DE/209/35913,39-299217,CT-FDE:GREY SA BLOCK @,MTO TINT-GREY SA BLOCK,47.91,49,-0.59,0.97,21.64877553,0.965,48.25,50,18.27177905,0,20.9993,17.6323,881.62,-0.709663953
35985, 4/07/2016, 7/01/2016, 7/07/2016,DE/210/35985,39-99976,CT-FDE:BROWN DARK FM @,MTO TINT-BROWN DARK FM,23.96,24,-0.79,0.99,22.00104621,0.944,23.6,25,18.98614725,0,21.781,17.9229,448.07,1.502504174
35986, 4/07/2016, 7/01/2016, 7/07/2016,DE/210/35986,39-9941,CT-FDE:GREY OSIDIAN GLASS @,MTO TINT-GREY OSIDIAN GLASS,189.5,191,-8.5,0.99,22.34190814,0.939,187.8,200,18.03531733,0,22.1185,16.9352,3387.04,0.897097625
36037, 4/12/2016, 7/01/2016, 7/07/2016,DE/210/36037,39-7013,CT-FDE:PURPLE INFUSION 3 @,MTO TINT-PURPLE INFUSION 3,0.963,1,-0.027,0.99,26.3148593,0.945,0.945,1,21.45289905,0,26.0517,20.273,20.27,1.869158879
