RMCode,name,Usage Mass,Usage Value,StockOnHand Mass,StockOn Hand Value
Z720,INT:PVA TINT REDOX 130 JARMILL @,10.952,110.0548753,-3.24,-36.07795621
Z715,INT:PVA TINT SCARLET SM JARMILL @,7.81,131.07026,21.3,368.5400662
Z707,INT:PVA TINT YELLOW OXIDE JARMILL @,26.65,271.310507,94.9,1063.017348
Z026,INT:PVB SOLN FOR STD ETCH PRIMER-HI-SPEED YY,13019.638,174613.7361,-399,-5353.827883
Z448,INT:TPE BLACK JARMILL 1 YY,2612.128,43098.02775,-132.31,-2155.552376
Z446,INT:TPE BLUE 15.3 BALL MILL 1 @,1916.624,34874.92048,338.86,6107.64436
Z447,INT:TPE BLUE UM JARMILL @,205.995,4041.046509,358.05,7799.908276
Z442,INT:TPE GREEN 7 JARMILL @,500.286,9839.530708,142.123,2771.7029
Z441,INT:TPE GREEN IG227 BALLMILL 2 @,10316.03,203213.6962,376,7340.864622
Z433,INT:TPE MAROON 6BM JARMILL @,329.431,6684.264042,-30.59,-617.4747548
Z197,INT:TPE MZAP BASE:WHITE-BALLMILL 1 @,900.248,20686.52189,180.58,4161.092833
Z434,INT:TPE PRIMROSE P32 JARMILL @,428.9,9822.52784,340,8243.093926
Z445,INT:TPE RED IS537 JARMILL @,1279.08,31390.90327,186.1,4537.217792
Z438,INT:TPE REDOX 130 BALLMILL 1 YY,576.287,9404.567345,134.6,2144.497789
Z440,INT:TPE SCARLET SM JARMILL @,279.388,6803.724503,60.43,1447.863128
Z430,INT:TPE WHITE-BALLMILL 8 @,21904.271,435435.5286,-2290.426,-46347.88689
Z436,INT:TPE YELLOW MID BALLMILL 6 YY,2402.342,51313.55212,418.07,9018.650802
Z437,INT:TPE YELLOW OXIDE JARMILL @,993.868,16069.50225,79.835,1268.274665
F602,KULUBRITE 10-VP (KB10),2991.013,7699.26341,4647.95,11991.711
F603,KULUBRITE 15-VP (KB15),1140.358,2485.98044,3487.904,7603.63072
F600,KULUBRITE 2-VP (KB02),2391.033,8075.39154,1756.199,5935.95262
F601,KULUBRITE 5-VP (KB05),3070.034,8837.14792,1006.049,2897.42112
R116,L1055W MV 55% - SQ BIN,10835.23,172747.223,3415.5,53964.9
S232,LAWS -  FLUIDEN 1520 - TURPOSOL 17,14788.484,136396.4868,10572.34,95151.06
D020,LEAD OCTOATE 36%,1777.268,80865.694,209.576,9535.708
R185,LS6035XS LV 35% - SQ BIN,50221.979,942969.9968,-2826.316,-54265.2672
R184,LS6050XS LV 50% - SQ BIN,10361.324,205039.6424,2109.816,42407.3016
R183,LS6125XS HV 25% - SQ BIN,161404.273,2815849.236,1028.242,18302.7076
